issn	title	articles	links	coverage
1000-1050	Shou lei xue bao = Acta theriologica Sinica	20	3	15
1059-8707		20	3	15
0893-3146	Bishop Museum bulletin in entomology	20	2	10
0019-2252	Transactions of the Illinois State Academy of Science	20	0	0
0036-8156	Science & culture	20	0	0
0110-943X	National Museum of New Zealand records	20	0	0
0374-8995	Memorie del Museo Civico di Storia Naturale di Verona	20	0	0
1257-5496	Biologie et évolution des insectes : principalement hemipteroidea / Ecole pratique des hautes études, [Laboratoire] Biologie et évolution des insectes	20	0	0
1664-2376	Swiss journal of palaeontology	19	14	74
0067-1967	Memoir / Australian Museum, Sydney	19	13	68
0073-4918	Bulletin / Illinois Natural History Survey	19	11	58
0031-4056	Pedobiologia	19	5	26
0916-0752	South Pacific study = Minami Taiheiyō kenkyū	19	4	21
0213-6686	Monografías de herpetología	19	1	5
0085-3887	Nemouria : occasional papers of the Delaware Museum of Natural History	19	0	0
0570-1880	Annals of the Cape provincial museums. Natural history	19	0	0
0028-2960	Netherlands journal of zoology	18	18	100
0068-1024	Brigham Young University science bulletin. Biological series	18	18	100
0104-6497	Nauplius : revista da Sociedade Brasileira de Carcinologia	18	18	100
0304-4017	Veterinary parasitology	18	18	100
1090-6924	Journal of cave and karst studies : the National Speleological Society bulletin	18	18	100
0362-2525	Journal of morphology	18	15	83
0084-0505	Transactions of the Wisconsin Academy of Sciences, Arts, and Letters	18	2	11
0363-1095	Proceedings of the Washington Academy of Sciences	18	2	11
0073-2230		18	1	6
1672-4291	880-01 Shan Xi Ke Ji Da Xue Xue Bao (Zi Ran Ke Xue Ban )	18	1	6
0376-446X	Bulletin du Muséum national d'histoire naturelle. Sciences de la terre	18	0	0
0164-0291	International journal of primatology	17	17	100
0885-4645	Memoirs of the Carnegie Museum	17	17	100
1744-9561	Biology letters	17	16	94
0035-9203	Transactions of the Royal Society of Tropical Medicine and Hygiene	17	11	65
1025-6164	Myrmecologische Nachrichten / Österreichische Gesellschaft für Ameisenkunde	17	2	12
0068-5143	Cahiers du Pacifique : publication de la Foundation Singer-Polignac	17	1	6
0438-0479	880-01 Xiamen da xue xue bao. Journal of Xiamen University. Natural science. Zi ran ke xue ban =	17	1	6
0029-6864	Norwegian journal of zoology	17	0	0
0073-6767	Proceedings of the Indiana Academy of Science	17	0	0
1803-1544	Studies and reports of District Museum Prague-East. [Studie a zprávy Oblastního muzea Praha-Východ. Taxonomická řada]. Taxonomical series =	17	0	0
0301-9268	Precambrian research	16	16	100
1461-0183	Systematic and applied acarology. Special publications	16	16	100
0001-7280	Acta zoologica et pathologica Antverpiensia	16	15	94
0173-9565	Marine ecology	16	15	94
0967-0645	Deep-sea research. Part II, Topical studies in oceanography	16	15	94
1023-3121	African plant protection	16	15	94
0037-5942	Sitzungsberichte der Gesellschaft Naturforschender Freunde zu Berlin	16	11	69
1348-2653	Kitakyūshū Shiritsu Shizenshi Reikishi Hakubutsukan kenkyū hōkoku. Bulletin of the Kitakyushu Museum of Natural History and Human History. Series A., Natural history. A-rui, Shizenshi =	16	8	50
0167-6563	Crustaceana. Supplement	16	3	19
1173-4337	Tuhinga : records of the Museum of New Zealand Te Papa Tongarewa	16	3	19
1000-0615	880-01 Shui chan xue bao	16	1	6
1971-1557	Memoirs on biodiversity	16	1	6
0250-3263	880-03 Tung wu hsüeh tsa chih. Dongwuxue zazhi	16	0	0
0269-3445	Monograph of the Palaeontographical Society	16	0	0
0365-0898	Atas	16	0	0
0559-9822	Sieboldia	16	0	0
0020-1812	Insectes sociaux / Union internationale pour l'étude des insectes sociaux = Social insects / International Union for the Study of Social Insects	15	15	100
0022-1899	The journal of infectious diseases : official publication of the Infectious Diseases Society of America	15	15	100
0367-2697	Fragmenta mineralogica et palaeontologica	15	15	100
1434-2944	International review of hydrobiology	15	14	93
1672-9609	Insect science	15	14	93
1002-0071	Progress in natural science : communication of state key laboratories of China	15	12	80
0863-0844	Rudolstädter naturhistorische Schriften	15	11	73
0139-7893	Folia zoologica	15	10	67
1084-0745		15	2	13
0373-7586	Abhandlungen und Berichte des Naturkundemuseums Görlitz	15	0	0
1019-8415	Pakistan journal of marine sciences	15	0	0
0011-7471	Deep-sea research and oceanographic abstracts	14	14	100
0032-8332	Primates	14	14	100
1038-4871		14	14	100
1063-5157		14	14	100
1342-937X	Gondwana research : international geoscience journal	14	14	100
0018-344X	Journal of the Faculty of Agriculture, Hokkaido University	14	13	93
1682-3559	Russian journal of theriology = Russkiĭ teriologicheskiĭ zhurnal	14	13	93
0075-5028	Miscellaneous publication / University of Kansas, Museum of Natural History	14	11	79
8756-971X	Journal of the American Mosquito Control Association	14	4	29
0790-1763	Irish journal of earth sciences	14	3	21
0078-2564	Novos taxa entomológicos	14	1	7
0326-1778	Historia natural	14	1	7
0971-2208	Journal of parasitology and applied animal biology	14	0	0
0021-4914	880-01 Nihon Ōyō Dōbutsu Konchū Gakkai shi / Nihon Ōyō Dōbutsu Konchū Gakkai	13	13	100
0023-4001	Kisaengch'unghak chapchi = The Korean journal of parasitology	13	13	100
0039-7989	Systematic zoology	13	13	100
0044-5096	Zoologica africana	13	13	100
0334-2123	Phytoparasitica : Israel journal of plant protection sciences	13	13	100
1661-8726	Swiss journal of geosciences	13	13	100
0732-4952	Bulletin of the Essex Institute	13	4	31
0923-9308	Deinsea : jaarbericht van het Natuurmuseum Rotterdam = Annual of the Natural History Museum Rotterdam	13	3	23
0934-8956		13	2	15
0069-8970	Memoirs of the Connecticut Academy of Arts & Sciences	13	1	8
0137-1592	Acta ichthyologica et piscatoria	13	1	8
0203-4646	Ėkologii︠a︡ mori︠a︡ / Akademii︠a︡ nauk Ukrainskoĭ SSR, Institut biologii i︠u︡zhnykh moreĭ im. A.O. Kovalevskogo	13	1	8
0388-788X	880-01 Gyobyō kenkyū	13	1	8
1506-7629	Folia malacologica Association of Polish Malacologists	13	1	8
1945-9432	Transactions of the Linnean Society	13	1	8
1174-9202	Records of the Auckland Museum / [Auckland War Memorial Museum]	13	0	0
0009-3262	Chesapeake science	12	12	100
0085-0683	Memoirs of the Hourglass cruises	12	12	100
0160-239X	Great Basin naturalist memoirs	12	12	100
0326-551X	Cuadernos de herpetología	12	12	100
1134-7783	Sessió Conjunta d'Entomologia / Institució Catalana d'Història Natural, Societat Catalana de Lepidopterologia	12	12	100
1325-2992	Australian biodiversity record	12	12	100
1420-2298	Mémoires de la Société des sciences naturelles de Neuchâtel	12	11	92
1736-4728	Estonian journal of earth sciences	12	9	75
2033-494X	Bulletin de l'Institut royal des sciences naturelles de Belgique. Entomologie & biologie	12	4	33
0069-2379	Ceylon journal of science. Biological sciences	12	1	8
0076-7174	Anales del Instituto de Biología / Universidad Nacional Autónoma	12	1	8
0107-5896	Ophelia. Supplementum	12	0	0
0373-5176	Bollettino dell'Istituto di entomologia della R. Università degli studi di Bologna	12	0	0
0529-6579	880-01 Zhongshan da xue xue bao. Acta scientiarum naturalium Universitatis Sunyatseni. Zi ran ke xue ban =	12	0	0
1027-8869	Monographs on Coleoptera	12	0	0
0001-6152	Acta medicinae Okayama	11	11	100
0269-283X	Medical and veterinary entomology	11	11	100
0453-0853	Memoirs of the Faculty of Agriculture, Kagoshima University	11	11	100
0899-7659	Journal of aquatic animal health	11	11	100
0919-6765	880-02 Nihon Senchū Gakkai shi = Japanese journal of nematology	11	11	100
1026-8774		11	11	100
2039-0394	Biodiversity journal	11	11	100
0113-7492	New Zealand natural sciences	11	10	91
0706-652X	Canadian journal of fisheries and aquatic sciences	11	10	91
1006-9313	Science in China. Chinese Academy of Sciences. Series D, Earth sciences /	11	10	91
0073-4748	Illinois biological monographs	11	9	82
1570-7555	Animal biology	11	9	82
1527-0904	Western North American naturalist / Brigham Young University	11	6	55
0583-7731	Boletín de la Sociedad Venezolana de Espeleología	11	2	18
0002-1911	Agronomia lusitana	11	0	0
0076-3519	Mammalian species	10	10	100
0082-3449		10	10	100
0275-2565	American journal of primatology	10	10	100
0743-9547	Journal of Southeast Asian earth sciences	10	10	100
0002-9122	American journal of botany	10	9	90
0022-474X	Journal of stored products research	10	9	90
1690-7930	Herpetotropicos	10	8	80
0103-6076	Goeldiana zoologia	10	4	40
0106-2808	Entomonograph	10	3	30
0169-0237		10	3	30
1867-1594	Palaeobiodiversity and palaeoenvironments	10	3	30
0724-6331	Palaeo Ichthyologica	10	2	20
0021-2164	Israel journal of earth sciences	10	1	10
0078-0421	Newsletters on stratigraphy	10	1	10
0284-7280	Bihang till Kongl. Svenska vetenskaps-akademiens handlingar	10	1	10
1346-4272	880-01 Chishitsu chōsa kenkyū hōkoku = Bulletin of the Geological Survey of Japan	10	1	10
1881-9109	National Museum of Nature and Science monographs	10	1	10
0302-7562	Indian journal of zoology	10	0	0
0379-0207	Denkschriften der Kaiserlichen Akademie der Wissenschaften, Mathematisch-Naturwissenschaftliche Classe	10	0	0
0023-0081	Transactions of the Kentucky Academy of Science	9	9	100
0094-6214	Public health reports	9	9	100
0924-7963	Journal of marine systems : journal of the European Association of Marine Sciences and Techniques	9	9	100
1439-8621	Limnology / The Japanese Society of Limnology	9	9	100
0352-5740	Bulletin. Académie serbe des sciences et des arts. Sciences naturelles / Classe des sciences mathématiques et naturelles	9	8	89
0014-3820	Evolution : international journal of organic evolution	9	6	67
1071-8443	Chelonian conservation and biology : journal of the IUCN/SSC Tortoise and Freshwater Turtle Specialist Group and international bulletin of chelonian research	9	6	67
2156-0382	The transactions of the South African Philosophical Society	9	5	56
1019-5858	Acta zoologica Taiwanica	9	4	44
0093-4666	Mycotaxon	9	2	22
0034-7736	Revista de biologia	9	1	11
0287-6779	Galaxea : publication of the Sesoko Marine Science Center, the University of the Ryukyus	9	1	11
0077-961X	Bulletin / New Zealand Department of Scientific and Industrial Research	9	0	0
0096-7777	Occasional papers of the Allan Hancock Foundation	9	0	0
0110-618X	NZOI records / New Zealand Oceanographic Institute	9	0	0
0723-9912	Nachrichten des Entomologischen Vereins Apollo	9	0	0
1342-4092	Bulletin of Gunma Museum of Natural History	9	0	0
0008-039X	Cahiers O.R.S.T.O.M. Serie océanographie	8	8	100
0012-8317	Journal of the East Africa Natural History Society and National Museum	8	8	100
0014-4754	Experientia	8	8	100
0083-6060	Zoology publications from Victoria University of Wellington	8	8	100
0800-0395	Polar research	8	8	100
1040-6182		8	8	100
1755-6910	Earth and environmental science transactions of the Royal Society of Edinburgh	8	8	100
1881-9079	Bulletin of the National Museum of Nature and Science. Series C. Geology & paleontology	8	8	100
2095-0357	Asian herpetological research	8	8	100
2234-6953	Animal systematics, evolution and diversity	8	8	100
0008-4026	Canadian journal of botany Journal canadien de botanique	8	7	88
1726-2038	Collection and research	8	7	88
0152-674X	Faune tropicale	8	4	50
0082-5107	Life sciences occasional papers / ROM, Royal Ontario Museum	8	3	38
0076-0935	Science bulletin	8	2	25
0094-8373	Paleobiology	8	2	25
0177-9214	Acta biologica Benrodis	8	2	25
0076-3721	Memoirs and proceedings - Manchester Literary and Philosophical Society	8	1	13
0080-2247	Revista de ciências veterinárias. Série A	8	1	13
0165-1609	Nova Guinea : contributions to the anthropology, botany, geology and zoology of the Papuan region. Zoology	8	1	13
0079-032X	Bulletin / Peabody Museum of Natural History	8	0	0
0172-7761	Herpetofauna : Zeitschrift für Amphibien- und Reptilienkunde	8	0	0
0210-5985	Doñana : acta vertebrata	8	0	0
0373-465X	Verhandelingen der Koninklijke Nederlandsche Akademie van Wetenschappen te Amsterdam, Afdeeling Natuurkunde. Tweede sectie	8	0	0
0379-0703	Journal of Oman studies. Special report	8	0	0
0029-344X	Northwest science : official publication of the Northwest Scientific Association	7	7	100
0285-3191	880-01 Hachū ryōseiruigaku zasshi. Japanese journal of herpetology	7	7	100
0305-1978	Biochemical systematics and ecology	7	7	100
0370-0097	Proceedings of the Indian Academy of Sciences. Section B	7	7	100
0372-0888	Transactions and proceedings of the Royal Society of South Australia (Incorporated)	7	7	100
0824-0469	Marine mammal science	7	7	100
1129-5767	Journal of limnology	7	7	100
1348-8945	Tropical medicine and health	7	7	100
1471-2148	BMC evolutionary biology	7	7	100
1756-3305	Parasites & vectors	7	7	100
0885-4629	Memoirs presented to the California Academy of Sciences	7	6	86
0911-9450	880-01 Nōgyō Kankyō Gijutsu Kenkyūjo hōkoku	7	6	86
2038-324X	Journal of entomological and acarological research	7	6	86
0034-8910	Revista de saúde pública	7	5	71
0318-1278	Occasional papers of the Royal Ontario Museum of Zoology	7	4	57
0918-7960	880-01 Anthropological science : journal of the Anthropological Society of Nippon = Jinruigaku zasshi	7	4	57
1555-7332	Rocky Mountain geology	7	4	57
0857-7099		7	1	14
1002-0705	Journal of China University of Geosciences	7	1	14
1343-3954	880-01 Kyōto Furitsu Daigaku gakujutsu hōkoku. The scientific reports of Kyoto Prefectural University. Human environment and agriculture. Ningen kankyōgaku, nōgaku =	7	1	14
0013-8940	Entomology memoir	7	0	0
0104-6950	Comunicações do Museu de Ciências e Tecnologia da PUCRS. Série Zoologia	7	0	0
0368-4113	Journal of science of the Hiroshima University. Series B, Division 1, Zoology	7	0	0
0884-8203	Indiana University studies	7	0	0
1760-2610	Le Coléoptériste : bulletin de liaison de l'Association des coléoptéristes de la région parisienne	7	0	0
0018-3466	Memoirs of the Faculty of Fisheries, Hokkaido University	6	6	100
0022-2844	Journal of molecular evolution	6	6	100
0096-7750	Monograph / Academy of Natural Sciences of Philadelphia	6	6	100
0121-733X	Boletin del Museo de Entomología de la Universidad del Valle	6	6	100
0378-2697	Plant systematics and evolution = Entwicklungsgeschichte und Systematik der Pflanzen	6	6	100
0473-9868	Journal of the Ohio Herpetological Society	6	6	100
0960-9822	Current biology : CB	6	6	100
1343-4152	Mammal study	6	6	100
0083-7571		6	5	83
0196-0768	Smithsonian contributions to the marine sciences	6	4	67
0546-0670	880-01 Honyū dōbutsugaku zasshi = The Journal of the Mammalogical Society of Japan	6	4	67
1126-0882	Atti del Museo Civico di Storia Naturale della Maremma	6	4	67
1138-4913	Reptilia : the European herp magazine	6	4	67
0080-8318	Bulletin of the Scripps Institution of Oceanography, La Jolla, California	6	3	50
0024-7774	Lynx	6	2	33
1672-3600	JOURNAL- SHANGQIU TEACHERS COLLEGE	6	2	33
0081-8720	Studies in tropical oceanography	6	1	17
0083-7903	New Zealand Oceanographic Institute memoir	6	1	17
0740-8196	Oriental insects monographs	6	1	17
0065-1028	Acta arctica	6	0	0
0081-3753	Spolia zoologica Musei hauniensis	6	0	0
0454-7810	Memoirs of the Faculty of Science, Kyoto University: Series of geology and mineralogy	6	0	0
0578-1604	Palaeontologia Sinica. Series C	6	0	0
0006-3606	Biotropica	5	5	100
0013-8703	Entomologia experimentalis et applicata	5	5	100
0014-4894	Experimental parasitology	5	5	100
0065-9452	Anthropological papers of the American Museum of Natural History	5	5	100
0080-5920	Memoirs of the San Diego Society of Natural History	5	5	100
0883-1351	Palaios	5	5	100
0898-6207	Primate conservation : the newsletter and journal of the IUCN/SSC Primate Specialist Group	5	5	100
0960-3115	Biodiversity and conservation	5	5	100
1130-6203	Mediterranea : series de estudios biológicos	5	5	100
1380-8427	Netherlands journal of aquatic ecology : journal of the Netherlands Society of Aquatic Ecology	5	5	100
1528-7092	Southeastern naturalist	5	5	100
1560-8530	International journal of agriculture and biology (ijab)	5	5	100
1679-9283	Acta scientiarum. Biological sciences	5	5	100
0178-2762	Biology and fertility of soils	5	4	80
0103-9121	Boletim do Museu de Biologia Mello Leitão	5	2	40
0021-9533	Journal of cell science	5	1	20
0068-7995	Publications in biological oceanography / National Museum of Natural Sciences = Publications en océanographie biologique / Musée national des sciences naturelles	5	1	20
0327-9383	Mastozoología neotropical	5	1	20
0993-4332	EPHE biologie et evolution des insectes	5	1	20
0020-2495	Archives de l'Institut Pasteur de Madagascar	5	0	0
0026-2838	Microscopy : the journal of the Quekett Microscopical Club	5	0	0
0079-8045	Bulletin of the Department of Zoology of the Punjab University	5	0	0
0324-0770	Acta zoologica Bulgarica	5	0	0
0430-8697	Folia scientifica Africae centralis	5	0	0
0733-2076	Journal of aquariculture & aquatic sciences	5	0	0
0747-8194	Technical bulletin	5	0	0
0920-2250	Proceedings of the Koninklijke Nederlandse Akademie van Wetenschappen. Series B, Palaeontology, geology, physics, chemistry, anthropology	5	0	0
1000-7423	880-01 Zhongguo ji sheng chong xue yu ji sheng chong bing za zhi = Chinese journal of parasitology & parasitic diseases	5	0	0
0012-9658	Ecology	4	4	100
0044-8486	Aquaculture	4	4	100
0122-9761	Boletín de investigaciones marinas y costeras / INVEMAR	4	4	100
0257-7615	South African journal of marine science / Republic of South Africa, Department of Environment Affairs, Sea Fisheries Research Institute = Suid-Afrikaanse tydskrif vir seewetenskap / Republiek van Suid-Afrika, Departement van Omgewingsake, Navorsingsinstituut vir Seevisserye	4	4	100
0393-9375	Human evolution	4	4	100
0892-1016	The Journal of raptor research	4	4	100
0931-2021	Zentralblatt für Veterinärmedizin = Journal of veterinary medicine. Reihe B, Infectious diseases, immunology, food hygiene, veterinary public health	4	4	100
0967-0637	Deep-sea research. Part I, Oceanographic research papers	4	4	100
1103-5897	GFF	4	4	100
1736-602X	Estonian journal of ecology	4	4	100
1742-7584	International journal of tropical insect science	4	4	100
1812-5670	Journal of entomology	4	4	100
1880-8247	Plankton & benthos research	4	4	100
0343-3528	Primate report	4	3	75
0737-4038	Molecular biology and evolution	4	3	75
1684-0925	880-01 Bioformosa = Sheng wu xue bao	4	3	75
0511-7542	Occasional papers of the Western Foundation of Vertebrate Zoology	4	2	50
0940-3256	Ornithologischer Anzeiger / herausgegeben von der Ornithologischen Gesellschaft in Bayern e.V	4	2	50
1037-3047	Monograph series / Australian Institute of Marine Science	4	2	50
1826-0373	Economia & diritto agroalimentare	4	2	50
0376-4230		4	1	25
0818-9641	Immunology and cell biology	4	1	25
1120-0952	Bollettino del Laboratorio di Entomologia del R. Istituto Superiore Agrario di Bologna	4	1	25
0022-2402	Journal of marine research	4	0	0
0044-5177	Zoologische Jahrbücher. Abteilung für Anatomie und Ontogenie der Tiere	4	0	0
0072-1018	Geologica et palaeontologica	4	0	0
0254-5578	Aracnología	4	0	0
0914-5575		4	0	0
0016-6707	Genetica	3	3	100
0018-067X	Heredity	3	3	100
0022-1910	Journal of insect physiology	3	3	100
0027-4070	Bulletin du Muséum national d'histoire naturelle	3	3	100
0078-320X	Investigational report / South African Association for Marine Biological Research, Oceanographic Research Institute	3	3	100
0097-3904	Publication. Field Columbian Museum. Zoological series /	3	3	100
0168-8162	Experimental & applied acarology	3	3	100
0177-7424	Spixiana. Supplement	3	3	100
0210-5004	Mediterránea serie de estudios biológicos	3	3	100
0340-6725	Zoomorphologie	3	3	100
0370-2588	Proces-verbaux de la Société linnéenne de Bordeaux	3	3	100
0580-3896	Myotis	3	3	100
0714-0983	Publications in natural sciences = Publications de sciences naturelles / National Museums of Canada, National Museum of Natural Sciences	3	3	100
0722-4028	Coral reefs : journal of the International Society for Reef Studies	3	3	100
0873-4704	Arquipélago. boletim da Universidade dos Açores = Arquipélago. Life and marine sciences : bulletin of the University of the Azores. Ciências biológicas e marinhas	3	3	100
1012-2494	Revista de ecología latinoamericana	3	3	100
1132-0869	Memorias de la Real Sociedad Española de Historia Natural	3	3	100
1413-4703		3	3	100
1464-7931	Biological reviews of the Cambridge Philosophical Society	3	3	100
1540-7063	Integrative and comparative biology	3	3	100
1566-0621	Conservation genetics	3	3	100
1568-9883	Harmful algae	3	3	100
1617-416X	Mycological progress	3	3	100
1817-3381	Journal of fisheries international	3	3	100
1883-4493		3	3	100
1895-3123	Acta zoologica Cracoviensia. Ser. A, Vertebrata	3	3	100
0041-3860	Tuatara : journal of the Biological Society, Victoria University College, Wellington, N.Z	3	2	67
0078-1304	North American fauna	3	2	67
0095-1137	Journal of clinical microbiology	3	2	67
0102-0935	Arquivo brasileiro de medicina veterinária e zootecnia	3	2	67
0126-7906		3	2	67
0474-0394	Okinawa-Seibutsu-Gakkai-shi	3	2	67
1023-2796	880-01 Journal of Marine Science and Technology	3	2	67
1520-541X	Evolution & development	3	2	67
0341-4043		3	1	33
0368-4717	Jahreshefte des Vereins für vaterländische Naturkunde in Württemberg	3	1	33
1043-8203		3	1	33
1164-5563	European journal of soil biology	3	1	33
1882-6946	880-01 Kyōto Furitsu Daigaku gakujutsu hōkoku. The scientific reports of Kyoto Prefectural University. Seimei kankyōgaku = Life and environmental sciences	3	1	33
0024-5461	Lloydia	3	0	0
0030-5715		3	0	0
0065-5503	Verhandelingen der Koninklijke Nederlandse Akademie van Wetenschappen, Afd. Natuurkunde. Eerste reeks	3	0	0
0065-6364	Allan Hancock monographs in marine biology	3	0	0
0366-2357	Boletín - Sociedad Venezolana de Ciencias Naturales	3	0	0
0506-8916	Vie et milieu. Série A: Biologie marine	3	0	0
0767-2071	Annales de la Société d'histoire naturelle du Boulonnais. Série B	3	0	0
0005-2086	Avian diseases	2	2	100
0016-7835	Geologische Rundschau	2	2	100
0022-0981	Journal of experimental marine biology and ecology	2	2	100
0022-1007	The Journal of experimental medicine	2	2	100
0028-2944	Netherlands journal of plant pathology	2	2	100
0038-0717	Soil biology & biochemistry	2	2	100
0046-5070	Freshwater biology	2	2	100
0077-7579	Netherlands journal of sea research	2	2	100
0096-2961	Bulletin of the United States National Museum / Department of the Interior, U.S. National Museum	2	2	100
0097-4374	Proceedings of the Arkansas Academy of Science	2	2	100
0099-4936	Carnegie Institution of Washington publication	2	2	100
0150-9349	Annales des sciences naturelles. Zoologie	2	2	100
0185-3880	Ciencias marinas	2	2	100
0258-2619	The Hong Kong naturalist	2	2	100
0277-3791	Quaternary science reviews	2	2	100
0305-0270	Journal of biogeography	2	2	100
0323-5408	Archiv für Phytopathologie und Pflanzenschutz	2	2	100
0430-3776	Fieldiana. Chicago Natural History Museum. Zoology memoirs /	2	2	100
0892-8908	NOAA technical report NMFS	2	2	100
0953-7562	Mycological research	2	2	100
0960-3166	Reviews in fish biology and fisheries	2	2	100
1010-061X	Journal of evolutionary biology	2	2	100
1018-4171	Arachnologische Mitteilungen	2	2	100
1030-1887		2	2	100
1092-6194		2	2	100
1110-8703		2	2	100
1467-8039	Arthropod structure & development	2	2	100
1519-7530		2	2	100
1559-4491	The Wilson journal of ornithology	2	2	100
1738-5261	Ocean science journal : OSJ	2	2	100
1755-098X	Molecular ecology resources	2	2	100
1818-5487	Aquatic invasions the European journal of applied research on biological invasions in aquatic ecosystems	2	2	100
1859-1434	Vietnamese journal of primatology = Cḥuyen đề linh trương học Việt Nam	2	2	100
1874-2629	The open geology journal	2	2	100
1880-4330	880-01 Tōkyō Gakugei Daigaku kiyō. Shizen kagakukei	2	2	100
1945-9467	Transactions of the Linnean Society of London	2	2	100
2158-5520		2	2	100
0009-5915	Chromosoma	2	1	50
0065-535X	Anzeiger - Österreichische Akademie der Wissenschaften, Mathematisch-naturwissenschaftliche Klasse	2	1	50
0069-6579	Commentationes biologicae / Societas Scientiarum Fennica	2	1	50
0093-6812	Bulletin of the University of Nebraska State Museum	2	1	50
0096-4069	Transactions of the Maryland Academy of Sciences	2	1	50
0176-5027	Berichte zur Polarforschung = Reports on polar research	2	1	50
0278-3355	Bulletin	2	1	50
0311-9548	Memoirs of the National Museum, Melbourne	2	1	50
0367-4673	Göteborgs Kungl. Vetenskaps- och vitterhets-samhälles handlingar. Serien B, Matematiska och naturvetenskapliga skrifter	2	1	50
0374-6038	Bulletin & annales de la Société royale belge d'entomologie	2	1	50
0389-6609	Publications of the Seto Marine Biological Laboratory. Special publication series	2	1	50
1023-4748	Anzeiger der Kaiserlichen Akademie der Wissenschaften in Wien. Mathematisch-naturwissenschaftliche Classe	2	1	50
1408-3671	Acta biologica Slovenica : ABS	2	1	50
0018-084X	Herpetological review	2	0	0
0098-4825		2	0	0
0103-2526	Arquivos do Instituto de Biologia Vegetal	2	0	0
0177-1671		2	0	0
0728-4683	Australian journal of herpetology	2	0	0
1210-6100	Klapalekiana	2	0	0
1316-2284	Boletín de entomología venezolana	2	0	0
0002-8487	Transactions of the American Fisheries Society	1	1	100
0002-9637	The American journal of tropical medicine and hygiene	1	1	100
0003-4746	Annals of applied biology	1	1	100
0005-7959	Behaviour	1	1	100
0006-3568	BioScience	1	1	100
0010-406X	Comparative biochemistry and physiology	1	1	100
0014-4827	Experimental cell research	1	1	100
0016-7878	Proceedings of the Geologists' Association	1	1	100
0017-7424		1	1	100
0021-8782	Journal of anatomy	1	1	100
0022-0949	The journal of experimental biology	1	1	100
0022-409X	Journal of range management	1	1	100
0022-5320	Journal of ultrastructure research	1	1	100
0024-4074	Botanical journal of the Linnean Society	1	1	100
0029-7240	Cahiers O.R.S.T.O.M. Série hydrobiologie	1	1	100
0029-8519		1	1	100
0037-9603	Bulletin de la Société vaudoise des sciences naturelles	1	1	100
0042-9686	Bulletin of the World Health Organization. Bulletin de l'Organisation mondiale de la santé	1	1	100
0044-2240		1	1	100
0068-2306		1	1	100
0069-570X	Journal of the College of Dairy Agriculture = Rakunō Gakuen Daigaku kiyō	1	1	100
0071-6154	Bulletin of the Florida State Museum. Biological sciences	1	1	100
0079-6611	Progress in oceanography	1	1	100
0082-6782	Tulane studies in zoology and botany	1	1	100
0094-680X	NOAA technical report NMFS CIRC	1	1	100
0097-3300		1	1	100
0105-3574	Entomologica Scandinavica. Supplementum	1	1	100
0201-758X	Visnyk Lʹvivsʹkoho universytetu. Serii︠a︡ biolohichna	1	1	100
0262-690X	Report of the British Association for the Advancement of Science	1	1	100
0272-463		1	1	100
0305-1838	Mammal review	1	1	100
0332-6683	Forhandlinger i Videnskabs-selskabet i Christiania	1	1	100
0366-5348	Contributions to Canadian biology and fisheries	1	1	100
0366-6611	880-02 Chikyū kagaku	1	1	100
0368-8283		1	1	100
0370-0461	Proceedings of the Linnean Society of London	1	1	100
0370-1662	Proceedings of the Royal Society of London	1	1	100
0370-291X		1	1	100
0370-4556	Revue scientifique	1	1	100
0371-6023	Travaux et documents de l'O.R.S.T.O.M	1	1	100
0373-3874	Videnskabelige meddelelser fra Dansk naturhistorisk forening	1	1	100
0386-0744	Memoirs of National Institute of Polar Research. Special issue	1	1	100
0386-5541	Memoirs of National Institute of Polar Research. Series E, Biology and medical science	1	1	100
0557-417X	Transactions of the Royal Society of New Zealand. Biological sciences	1	1	100
0580-5791	Meguro Kiseichukan kenkyu hokoku	1	1	100
0583-8401	Compte rendu des séances de la Société de physique et d'histoire naturelle de Genève	1	1	100
0717-3326	Revista de biología marina y oceanografía	1	1	100
0718-560X		1	1	100
0718-8730	Revista ibero-latinoamericana de parasitologia	1	1	100
0730-8000	Journal of shellfish research	1	1	100
0772-3997		1	1	100
0790-8113	The transactions of the Royal Irish Academy	1	1	100
0890-6564		1	1	100
0893-312X	Bishop Museum bulletin in zoology	1	1	100
0898-1051	Zoölogical bulletin	1	1	100
0908-8857	Journal of avian biology	1	1	100
0913-6800	Sugadaira Kōgen Jikken Sentā kenkyū hōkoku	1	1	100
0918-9440	Journal of plant research	1	1	100
0932-4771	Taxonomy & ecology	1	1	100
0933-9337		1	1	100
0958-3157	Biocontrol science and technology	1	1	100
0962-1083	Molecular ecology	1	1	100
0967-3849		1	1	100
1001-6600	880-01 Guangxi shi fan da xue xue bao. Journal of Guangxi Normal University. Natural science edition. Zi ran ke xue ban =	1	1	100
1018-3337	Marine ornithology	1	1	100
1049-9644		1	1	100
1062-3590		1	1	100
1064-1262		1	1	100
1080-6040		1	1	100
1098-7096		1	1	100
1286-4994	Collection faune et flore tropicales	1	1	100
1340-9050	Interdisciplinary information sciences	1	1	100
1407-8953	Acta Biologica Universitatis Daugavpiliensis	1	1	100
1437-3254	International journal of earth sciences : Geologische Rundschau	1	1	100
1567-1348	Infection, genetics, and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases	1	1	100
1573-5869		1	1	100
